"","message","sender","receiver","m","spec","comp"
"1",0,4,4,53.3076923076923,0.0740915377591601,-0.00196824292211023
"2",0,4,10,15.75,0.0741060712762798,0.125406621188313
"3",0,4,12,27.8461538461538,0.0741063967639384,-0.172230726181211
"4",0,4,19,14.2666666666667,0.074084963072844,-0.118220303657458
"5",0,4,22,13.3076923076923,0.0740939706972143,0.103715448655479
"6",0,4,28,58.2,0.0740873042825581,-0.385491715432453
"7",0,4,38,32.875,0.0741051646780792,-0.630116621869392
"8",0,4,46,16,0.074089870045879,0.200724377171373
"9",0,4,47,55,0.0740958315660503,-0.319079025955204
"10",1,14,9,22.5,0.0741034944989825,0.054694934087569
"11",1,14,11,46,0.0740364686994663,-0.202195763187835
"12",1,14,26,60.4444444444444,0.0740490690171592,-0.113528937203247
"13",1,14,30,45.7692307692308,0.0740923120252571,0.0262823128894294
"14",1,14,34,21.2857142857143,0.0741075844651169,-0.0264912948418494
"15",1,14,40,21.5833333333333,0.0740857435856738,-0.243539496285218
"16",1,14,44,31.4444444444444,0.0740881257279268,-0.275560204774505
"17",2,8,5,54.8571428571429,0.0741027892757222,-0.278212959260432
"18",2,8,16,63.9090909090909,0.0740883026090988,-0.129163982131554
"19",2,8,18,15.5714285714286,0.0741066540306989,-0.156621270524473
"20",2,8,21,38.0714285714286,0.0740937002794373,-0.117819405069553
"21",2,8,48,22.125,0.0741065348496118,-0.128225708840712
"22",2,8,49,15.3333333333333,0.0741069343117382,0.16830277009418
"23",2,8,50,26.8571428571429,0.07410633429661,-0.203134036478677
"24",4,8,5,35.6666666666667,0.0740907198481271,0.305848516677332
"25",4,8,16,73.2222222222222,0.0740968910448179,-0.0591858541491052
"26",4,8,18,30.9,0.0740928249149009,-0.230898396130417
"27",4,8,21,26.1666666666667,0.0740830572439703,-0.361651044087871
"28",4,8,48,20.7,0.0740645189957419,0.0727353705433076
"29",4,8,49,12.6428571428571,0.0740903820313905,0.243211097732145
"30",4,8,50,34.9,0.0740933312290365,-0.0924433774308664
"31",5,3,7,57.2727272727273,0.0740096085701848,0.20011876441092
"32",5,3,17,15.5882352941176,0.0741081483149497,0.342111073416945
"33",5,3,23,39.8333333333333,0.0741021925483481,0.206140772986689
"34",5,3,25,7.875,0.0741024728293875,0.197303944538393
"35",5,3,29,26.2857142857143,0.0741073329519261,0.134678467253271
"36",5,3,33,17.4444444444444,0.0740991300053785,0.31546155302987
"37",5,3,42,13.1666666666667,0.0740852106407298,0.287531716088655
"38",5,3,43,60.25,0.0740946931811838,0.20027230004033
"39",7,8,5,29.9,0.0740926062792514,-0.896415641324786
"40",7,8,16,67.25,0.074088435763141,0.349559257394794
"41",7,8,18,31.25,0.0741034599775642,0.0147756704408283
"42",7,8,21,29.4545454545455,0.0740929021771229,0.270301606565916
"43",7,8,48,25.4285714285714,0.0740990954839602,-0.0180638947386486
"44",7,8,49,18.3125,0.074104281916096,0.391122119954375
"45",7,8,50,19.3333333333333,0.073616399752068,-0.525371203582645
"46",9,4,4,18.4545454545455,0.0740843910858197,0.298091555489224
"47",9,4,10,13.625,0.0741045441144877,-0.0542300652220205
"48",9,4,12,25.5384615384615,0.0741056997600634,0.328131654359116
"49",9,4,19,4.5,0.0740872619527237,0.51372381723914
"50",9,4,22,11.4285714285714,0.0741056348269194,0.449956205466347
"51",9,4,28,32.4,0.0740829976452073,0.0393413711465149
"52",9,4,38,12.7368421052632,0.0741022089871188,-1.29629065836735
"53",9,4,46,9.2,0.0740920243467709,-0.0624783404242424
"54",9,4,47,48.8461538461538,0.0740806992667102,0.0216933035214921
"55",9,14,9,17,0.0740861806925851,0.418989774965679
"56",9,14,11,8.3,0.0741060490839394,0.328618703494635
"57",9,14,26,59.8888888888889,0.0740982234071779,0.270352785109053
"58",9,14,30,27.7,0.0740977425731368,0.467145372154576
"59",9,14,34,22.1875,0.0741064953965622,0.442111387779188
"60",9,14,40,18.8571428571429,0.0740887998819106,0.437692120579321
"61",9,14,44,11.375,0.0740832889484424,0.0985634753130364
"62",10,17,3,35.5333333333333,0.0740905123086478,0.0305642509985456
"63",10,17,6,77.6363636363636,0.0740837586230241,0.128972059693513
"64",10,17,8,66.5833333333333,0.0740750266579328,0.0359977063282408
"65",10,17,15,81,0.0740829258077796,0.138781280461409
"66",10,17,20,21.8823529411765,0.0740872568567048,0.27932608967238
"67",10,17,24,80.5833333333333,0.0740832495693673,-0.132251754234144
"68",11,10,2,39,0.0740996938552114,-0.380834468007
"69",11,10,31,73.375,0.0740873323928559,-0.704837294849189
"70",11,10,35,23.8181818181818,0.0740986919121411,-0.731876625139823
"71",11,10,36,34.5714285714286,0.0740809872739717,0.029745394308356
"72",11,10,37,62.8,0.0740937364447327,-0.339567502724322
"73",11,10,39,35.4,0.0740906026396924,0.219805444004227
"74",11,17,3,76.4615384615385,0.0740888082656836,-0.0414780782237561
"75",11,17,6,65.7142857142857,0.0740951320963597,-0.391172533720643
"76",11,17,8,60.7,0.0740871658681093,-0.0719207816329907
"77",11,17,15,72.1538461538462,0.0740873563112671,0.0373198186926094
"78",11,17,20,18.6153846153846,0.074089767056981,-0.262219664530167
"79",11,17,24,64.0666666666667,0.0740747924054512,-0.271952117483357
"80",13,25,13,52,0.0740620515362694,-0.366393589085219
"81",13,25,14,12.9,0.0740134831884238,0.11230491414528
"82",13,25,27,67.2222222222222,0.0738952095214483,0.360887627918136
"83",13,25,32,61.6363636363636,0.0740824255842085,0.333471282359727
"84",13,25,41,16.25,0.0740929958781155,-0.496625921854116
"85",13,25,45,28.3333333333333,0.0741053939989296,-0.228910962705269
"86",14,4,4,22.375,0.074083790434511,0.124869246485376
"87",14,4,10,20.25,0.0740895993815205,0.02124122639045
"88",14,4,12,14.9285714285714,0.0740828120597062,0.0097772327277962
"89",14,4,19,11.7272727272727,0.074089909252347,-0.0386632583512296
"90",14,4,22,16.6153846153846,0.0740889913935885,0.0093507448683225
"91",14,4,28,69.4545454545455,0.0740836691385761,0.0467025516010314
