"","message","compositional","sender","receiver","evaluator","evaluation"
"177",26,"compositional",4,12,6,66
"178",38,"compositional",25,14,6,61
"179",32,"compositional",17,24,6,89
"180",0,"spectral",4,38,6,18
"181",14,"spectral",10,31,7,82
"182",1,"spectral",14,30,7,36
"183",37,"compositional",10,39,7,67
"184",39,"compositional",17,3,7,67
"185",16,"spectral",14,40,7,36
"186",26,"compositional",8,18,7,30
"187",36,"compositional",3,17,7,70
"188",16,"spectral",14,30,7,79
"189",20,"spectral",3,42,7,89
"190",39,"compositional",17,20,7,88
"191",15,"spectral",3,7,7,96
"192",37,"compositional",10,35,7,100
"193",10,"spectral",17,8,7,100
"194",11,"spectral",17,20,7,66
"195",38,"compositional",25,32,7,82
"196",2,"spectral",8,16,7,87
"197",16,"spectral",17,8,7,85
"198",16,"spectral",25,32,7,96
"199",17,"spectral",10,31,7,89
"200",7,"spectral",8,50,7,89
"201",28,"compositional",14,11,7,100
"202",31,"compositional",14,9,7,60
"203",35,"compositional",10,35,7,36
"204",26,"compositional",4,46,7,67
"205",15,"spectral",3,17,7,64
"206",28,"compositional",14,26,7,100
"207",7,"spectral",8,18,7,81
"208",4,"spectral",8,49,7,66
"209",33,"compositional",25,13,7,80
"210",16,"spectral",3,29,7,60
"211",26,"compositional",4,38,8,6
"212",4,"spectral",8,5,8,40
"213",32,"compositional",17,6,8,65
"214",2,"spectral",8,16,8,75
"215",35,"compositional",4,12,8,42
"216",20,"spectral",3,42,8,35
"217",16,"spectral",14,11,8,22
"218",20,"spectral",3,23,8,20
"219",7,"spectral",8,16,8,62
"220",31,"compositional",17,24,8,79
"221",15,"spectral",3,29,8,18
"222",38,"compositional",25,45,8,10
"223",9,"spectral",4,10,8,26
"224",35,"compositional",8,18,8,62
"225",36,"compositional",3,33,8,43
"226",9,"spectral",4,46,8,13
"227",4,"spectral",8,18,8,39
"228",29,"compositional",8,5,8,62
"229",11,"spectral",10,37,8,72
"230",37,"compositional",10,36,8,60
"231",7,"spectral",8,48,8,40
"232",29,"compositional",8,49,8,20
"233",38,"compositional",25,27,8,75
"234",4,"spectral",8,16,8,79
"235",17,"spectral",10,35,8,25
"236",10,"spectral",17,6,8,65
"237",35,"compositional",4,10,8,55
"238",16,"spectral",17,8,8,4
"239",14,"spectral",4,38,8,14
"240",9,"spectral",14,30,8,20
"241",0,"spectral",4,4,9,39
"242",22,"compositional",14,9,9,0
"243",16,"spectral",3,43,9,78
"244",35,"compositional",8,21,9,82
"245",26,"compositional",8,48,9,15
"246",13,"spectral",25,45,9,28
"247",16,"spectral",3,33,9,33
"248",20,"spectral",3,17,9,11
"249",32,"compositional",17,24,9,53
"250",21,"compositional",10,31,9,22
"251",14,"spectral",4,4,9,24
"252",16,"spectral",3,25,9,18
"253",38,"compositional",25,45,9,3
"254",4,"spectral",8,49,9,0
"255",16,"spectral",14,11,9,19
"256",30,"compositional",3,23,9,22
"257",22,"compositional",14,34,9,0
"258",33,"compositional",25,14,9,31
"259",15,"spectral",3,7,9,46
"260",26,"compositional",8,49,9,23
"261",17,"spectral",10,2,9,0
"262",22,"compositional",14,11,9,8
"263",38,"compositional",25,32,9,74
"264",30,"compositional",3,7,9,29
"265",16,"spectral",17,6,9,86
"266",15,"spectral",25,27,9,63
"267",14,"spectral",4,28,9,66
"268",16,"spectral",14,44,9,31
"269",13,"spectral",25,13,9,40
"270",10,"spectral",17,6,9,84
"271",35,"compositional",8,16,10,65
"272",35,"compositional",4,19,10,80
"273",14,"spectral",10,39,10,15
"274",4,"spectral",8,21,10,25
"275",29,"compositional",8,50,10,24
"276",4,"spectral",8,18,10,76
"277",35,"compositional",8,50,10,72
"278",9,"spectral",14,34,10,74
"279",26,"compositional",8,48,10,25
"280",0,"spectral",4,28,10,34
"281",16,"spectral",25,32,10,44
"282",11,"spectral",10,2,10,59
"283",28,"compositional",14,11,10,64
"284",0,"spectral",4,19,10,31
"285",10,"spectral",17,6,10,47
"286",13,"spectral",25,45,10,65
"287",9,"spectral",4,4,10,65
"288",26,"compositional",4,22,10,67
"289",22,"compositional",14,44,10,64
"290",35,"compositional",4,38,10,65
"291",35,"compositional",4,12,10,67
"292",7,"spectral",8,48,10,67
"293",34,"compositional",4,28,10,66
"294",39,"compositional",17,24,10,67
"295",16,"spectral",17,15,10,38
"296",7,"spectral",8,21,10,40
"297",35,"compositional",10,31,10,60
"298",1,"spectral",14,40,10,68
"299",14,"spectral",4,4,10,71
"300",22,"compositional",14,26,10,68
"301",9,"spectral",4,4,11,0
"302",14,"spectral",4,22,11,10
"303",26,"compositional",8,18,11,6
"304",16,"spectral",17,8,11,0
"305",14,"spectral",10,31,11,10
"306",13,"spectral",25,14,11,0
"307",7,"spectral",8,48,11,0
"308",22,"compositional",14,44,11,0
"309",15,"spectral",3,25,11,0
"310",16,"spectral",3,17,11,7
"311",7,"spectral",8,49,11,0
"312",2,"spectral",8,16,11,40
"313",26,"compositional",8,50,11,0
"314",35,"compositional",8,50,11,35
"315",0,"spectral",4,12,11,5
"316",35,"compositional",8,16,11,65
"317",1,"spectral",14,44,11,10
"318",20,"spectral",3,7,11,60
"319",9,"spectral",4,47,11,15
"320",30,"compositional",3,7,11,0
"321",22,"compositional",14,9,11,0
"322",37,"compositional",10,35,11,20
"323",7,"spectral",8,50,11,0
"324",9,"spectral",14,40,11,0
"325",31,"compositional",14,30,11,15
"326",35,"compositional",8,49,11,0
"327",9,"spectral",4,22,11,0
"328",32,"compositional",17,20,11,0
"329",15,"spectral",25,45,11,0
"330",36,"compositional",3,29,11,0
"331",28,"compositional",14,11,12,31
"332",10,"spectral",17,3,12,57
"333",16,"spectral",3,17,12,33
"334",1,"spectral",14,9,12,24
"335",16,"spectral",3,25,12,21
"336",16,"spectral",25,41,12,24
"337",32,"compositional",17,6,12,86
"338",11,"spectral",17,20,12,30
"339",35,"compositional",10,36,12,7
"340",4,"spectral",8,18,12,30
"341",33,"compositional",25,45,12,24
"342",29,"compositional",8,21,12,72
"343",35,"compositional",4,4,12,9
"344",13,"spectral",25,45,12,30
"345",11,"spectral",10,35,12,28
"346",16,"spectral",3,7,12,44
"347",33,"compositional",25,27,12,60
"348",36,"compositional",3,42,12,39
"349",16,"spectral",17,6,12,79
"350",1,"spectral",14,26,12,95
"351",5,"spectral",3,7,12,38
"352",34,"compositional",4,10,12,26
"353",20,"spectral",3,23,12,70
"354",2,"spectral",8,16,12,78
"355",29,"compositional",8,49,12,35
"356",0,"spectral",4,12,12,35
"357",16,"spectral",3,43,12,38
"358",7,"spectral",8,49,12,10
"359",26,"compositional",8,18,12,27
"360",16,"spectral",3,23,12,17
"361",2,"spectral",8,16,13,39
"362",16,"spectral",14,26,13,39
"363",5,"spectral",3,33,13,4
"364",16,"spectral",3,33,13,57
"365",10,"spectral",17,8,13,70
"366",0,"spectral",4,28,13,53
"367",16,"spectral",14,44,13,36
"368",1,"spectral",14,30,13,35
"369",11,"spectral",10,2,13,43
"370",7,"spectral",8,16,13,43
"371",26,"compositional",4,47,13,56
"372",0,"spectral",4,10,13,28
"373",36,"compositional",3,43,13,46
"374",35,"compositional",4,38,13,65
"375",14,"spectral",10,39,13,38
"376",28,"compositional",14,30,13,37
"377",14,"spectral",10,2,13,17
"378",35,"compositional",10,2,13,2
"379",26,"compositional",8,49,13,2
"380",35,"compositional",8,50,13,18
"381",15,"spectral",3,17,13,25
"382",33,"compositional",25,14,13,30
"383",38,"compositional",25,27,13,44
"384",27,"compositional",25,32,13,44
"385",14,"spectral",10,36,13,37
"386",34,"compositional",4,19,13,45
"387",20,"spectral",3,29,13,33
"388",32,"compositional",17,6,13,39
"389",16,"spectral",25,13,13,38
"390",36,"compositional",3,17,13,45
"391",30,"compositional",3,17,14,8
"392",14,"spectral",4,46,14,5
"393",2,"spectral",8,18,14,30
"394",13,"spectral",25,27,14,90
"395",11,"spectral",17,20,14,15
"396",35,"compositional",8,21,14,80
"397",16,"spectral",14,9,14,10
"398",37,"compositional",10,36,14,90
"399",33,"compositional",25,45,14,10
"400",38,"compositional",25,32,14,90
"401",9,"spectral",4,38,14,15
"402",36,"compositional",3,33,14,5
"403",31,"compositional",17,6,14,20
"404",29,"compositional",8,5,14,90
"405",26,"compositional",8,50,14,10
"406",15,"spectral",25,27,14,90
"407",14,"spectral",4,4,14,45
"408",16,"spectral",3,29,14,15
"409",11,"spectral",17,6,14,95
"410",38,"compositional",25,41,14,10
"411",10,"spectral",17,24,14,80
"412",9,"spectral",14,30,14,10
"413",9,"spectral",4,10,14,5
"414",2,"spectral",8,50,14,30
"415",39,"compositional",17,24,14,49
"416",10,"spectral",17,20,14,21
"417",10,"spectral",17,6,14,85
"418",9,"spectral",4,47,14,60
"419",15,"spectral",3,42,14,20
"420",1,"spectral",14,40,14,10
"421",2,"spectral",8,16,15,72
"422",39,"compositional",17,3,15,38
"423",4,"spectral",8,48,15,12
"424",36,"compositional",3,29,15,6
"425",22,"compositional",14,9,15,10
"426",26,"compositional",4,38,15,7
"427",27,"compositional",25,32,15,60
"428",16,"spectral",25,45,15,4
"429",28,"compositional",14,9,15,10
"430",31,"compositional",14,40,15,45
"431",16,"spectral",3,23,15,42
"432",28,"compositional",14,40,15,4
