"","message","compositional","sender","receiver","evaluator","evaluation"
"772",20,"spectral",3,42,26,18
"773",36,"compositional",3,7,26,55
"774",31,"compositional",17,20,26,7
"775",11,"spectral",10,35,26,33
"776",34,"compositional",4,19,26,54
"777",28,"compositional",14,40,26,4
"778",35,"compositional",8,5,26,88
"779",28,"compositional",14,44,26,8
"780",35,"compositional",10,2,26,0
"781",11,"spectral",10,39,27,30
"782",9,"spectral",14,26,27,60
"783",10,"spectral",17,3,27,10
"784",20,"spectral",3,42,27,5
"785",7,"spectral",8,21,27,31
"786",14,"spectral",10,2,27,5
"787",21,"compositional",10,37,27,27
"788",26,"compositional",4,12,27,8
"789",9,"spectral",14,40,27,7
"790",30,"compositional",3,29,27,17
"791",28,"compositional",14,9,27,3
"792",30,"compositional",3,25,27,13
"793",17,"spectral",10,36,27,8
"794",16,"spectral",25,27,27,86
"795",15,"spectral",3,43,27,32
"796",26,"compositional",8,16,27,42
"797",2,"spectral",8,48,27,11
"798",26,"compositional",8,5,27,8
"799",4,"spectral",8,48,27,7
"800",31,"compositional",17,3,27,63
"801",13,"spectral",25,13,27,46
"802",35,"compositional",4,28,27,5
"803",14,"spectral",4,12,27,7
"804",1,"spectral",14,34,27,2
"805",22,"compositional",14,9,27,17
"806",4,"spectral",8,18,27,3
"807",7,"spectral",8,5,27,12
"808",21,"compositional",10,31,27,13
"809",16,"spectral",25,41,27,2
"810",2,"spectral",8,21,27,10
"811",35,"compositional",4,4,28,5
"812",14,"spectral",4,4,28,19
"813",20,"spectral",3,33,28,0
"814",36,"compositional",3,43,28,92
"815",15,"spectral",3,42,28,16
"816",35,"compositional",4,28,28,69
"817",5,"spectral",3,23,28,40
"818",35,"compositional",4,38,28,74
"819",14,"spectral",4,22,28,3
"820",35,"compositional",10,35,28,74
"821",2,"spectral",8,49,28,5
"822",29,"compositional",8,18,28,43
"823",9,"spectral",4,12,28,27
"824",39,"compositional",17,8,28,69
"825",22,"compositional",14,40,28,39
"826",28,"compositional",14,40,28,13
"827",7,"spectral",8,21,28,28
"828",16,"spectral",3,33,28,63
"829",14,"spectral",10,36,28,68
"830",5,"spectral",3,17,28,11
"831",34,"compositional",4,38,28,13
"832",7,"spectral",8,5,28,39
"833",31,"compositional",17,8,28,88
"834",38,"compositional",25,32,28,86
"835",35,"compositional",8,49,28,2
"836",4,"spectral",8,50,28,7
"837",35,"compositional",4,47,28,79
"838",29,"compositional",8,50,28,28
"839",20,"spectral",3,17,28,22
"840",7,"spectral",8,49,28,12
"841",5,"spectral",3,33,29,34
"842",11,"spectral",17,24,29,71
"843",9,"spectral",4,47,29,70
"844",35,"compositional",8,5,29,61
"845",38,"compositional",25,45,29,10
"846",4,"spectral",8,16,29,59
"847",21,"compositional",10,36,29,56
"848",26,"compositional",4,28,29,61
"849",36,"compositional",3,25,29,11
"850",35,"compositional",8,48,29,40
"851",32,"compositional",17,24,29,30
"852",1,"spectral",14,30,29,26
"853",28,"compositional",14,30,29,33
"854",11,"spectral",17,3,29,70
"855",34,"compositional",4,4,29,23
"856",30,"compositional",3,42,29,6
"857",16,"spectral",17,20,29,15
"858",9,"spectral",4,22,29,10
"859",17,"spectral",10,37,29,28
"860",26,"compositional",8,49,29,19
"861",35,"compositional",10,2,29,4
"862",14,"spectral",4,22,29,21
"863",32,"compositional",17,15,29,47
"864",9,"spectral",4,46,29,14
"865",28,"compositional",14,26,29,75
"866",22,"compositional",14,30,29,29
"867",0,"spectral",4,28,29,41
"868",14,"spectral",10,2,29,15
"869",4,"spectral",8,48,29,17
"870",32,"compositional",17,6,29,30
"871",5,"spectral",3,33,30,7
"872",9,"spectral",4,4,30,2
"873",16,"spectral",14,26,30,90
"874",27,"compositional",25,45,30,9
"875",14,"spectral",4,28,30,93
"876",5,"spectral",3,17,30,2
"877",14,"spectral",4,4,30,4
"878",14,"spectral",4,19,30,2
"879",35,"compositional",4,47,30,87
"880",39,"compositional",17,3,30,73
"881",35,"compositional",10,37,30,46
"882",15,"spectral",25,32,30,71
"883",20,"spectral",3,25,30,3
"884",9,"spectral",4,47,30,66
"885",31,"compositional",17,24,30,98
"886",30,"compositional",3,17,30,5
"887",35,"compositional",8,5,30,74
"888",16,"spectral",3,29,30,3
"889",16,"spectral",14,44,30,2
"890",21,"compositional",10,37,30,4
"891",31,"compositional",14,9,30,3
"892",11,"spectral",17,24,30,76
"893",33,"compositional",25,32,30,97
"894",17,"spectral",10,36,30,30
"895",21,"compositional",10,2,30,3
"896",17,"spectral",10,37,30,60
"897",32,"compositional",17,24,30,87
"898",16,"spectral",25,32,30,62
"899",27,"compositional",25,27,30,61
"900",14,"spectral",4,46,30,17
"901",1,"spectral",14,34,31,31
"902",5,"spectral",3,43,31,73
"903",4,"spectral",8,21,31,26
"904",15,"spectral",25,32,31,54
"905",26,"compositional",8,50,31,24
"906",2,"spectral",8,18,31,32
"907",29,"compositional",8,16,31,83
"908",26,"compositional",4,12,31,38
"909",14,"spectral",4,19,31,10
"910",14,"spectral",10,31,31,43
"911",30,"compositional",3,43,31,25
"912",38,"compositional",25,32,31,69
"913",0,"spectral",4,46,31,37
"914",1,"spectral",14,40,31,22
"915",34,"compositional",4,10,31,33
"916",35,"compositional",10,39,31,61
"917",14,"spectral",4,22,31,18
"918",15,"spectral",3,33,31,12
"919",14,"spectral",10,39,31,22
"920",31,"compositional",14,30,31,55
"921",10,"spectral",17,3,31,31
"922",15,"spectral",25,13,31,32
"923",32,"compositional",17,24,31,63
"924",14,"spectral",4,10,31,26
"925",4,"spectral",8,50,31,14
"926",5,"spectral",3,7,31,80
"927",37,"compositional",10,39,31,47
"928",34,"compositional",4,19,31,56
"929",31,"compositional",17,20,31,27
"930",11,"spectral",17,3,31,62
"931",16,"spectral",3,23,32,12
"932",34,"compositional",4,22,32,6
"933",16,"spectral",3,29,32,0
"934",5,"spectral",3,7,32,67
"935",9,"spectral",4,22,32,6
"936",39,"compositional",17,8,32,77
"937",38,"compositional",25,41,32,0
"938",31,"compositional",17,24,32,83
"939",15,"spectral",25,13,32,40
"940",9,"spectral",4,28,32,31
"941",16,"spectral",14,9,32,0
"942",5,"spectral",3,42,32,2
"943",34,"compositional",4,28,32,62
"944",31,"compositional",17,8,32,70
"945",16,"spectral",25,14,32,0
"946",33,"compositional",25,45,32,7
"947",9,"spectral",4,19,32,0
"948",32,"compositional",17,8,32,67
"949",26,"compositional",4,46,32,42
"950",32,"compositional",17,6,32,48
"951",35,"compositional",8,5,32,89
"952",14,"spectral",4,12,32,8
"953",26,"compositional",8,50,32,0
"954",21,"compositional",10,35,32,4
"955",17,"spectral",10,31,32,27
"956",9,"spectral",14,40,32,3
"957",9,"spectral",4,38,32,0
"958",21,"compositional",10,39,32,33
"959",9,"spectral",4,4,32,8
"960",9,"spectral",4,46,32,5
"961",9,"spectral",4,38,33,24
"962",14,"spectral",4,28,33,70
"963",31,"compositional",14,9,33,27
"964",39,"compositional",17,3,33,54
"965",14,"spectral",10,37,33,16
"966",9,"spectral",14,40,33,7
"967",28,"compositional",14,26,33,74
"968",31,"compositional",14,40,33,86
"969",32,"compositional",17,3,33,100
"970",10,"spectral",17,24,33,89
"971",22,"compositional",14,11,33,14
"972",15,"spectral",25,41,33,8
"973",30,"compositional",3,33,33,8
"974",35,"compositional",10,35,33,4
"975",16,"spectral",3,43,33,85
"976",20,"spectral",3,25,33,12
"977",0,"spectral",4,19,33,9
"978",15,"spectral",3,33,33,11
"979",14,"spectral",10,2,33,10
"980",16,"spectral",25,27,33,86
"981",9,"spectral",4,47,33,81
"982",16,"spectral",14,11,33,53
"983",16,"spectral",3,29,33,14
"984",0,"spectral",4,10,33,18
"985",17,"spectral",10,35,33,13
"986",11,"spectral",10,2,33,9
"987",7,"spectral",8,21,33,13
"988",32,"compositional",17,24,33,17
"989",16,"spectral",3,42,33,7
"990",17,"spectral",10,39,33,13
"991",10,"spectral",17,8,34,62
"992",26,"compositional",8,21,34,26
"993",14,"spectral",10,37,34,14
"994",11,"spectral",10,37,34,47
"995",5,"spectral",3,33,34,0
"996",0,"spectral",4,12,34,9
"997",1,"spectral",14,11,34,33
"998",2,"spectral",8,48,34,19
"999",5,"spectral",3,17,34,12
"1000",30,"compositional",3,42,34,12
"1001",16,"spectral",3,43,34,82
"1002",15,"spectral",25,45,34,35
"1003",9,"spectral",4,10,34,32
"1004",16,"spectral",3,23,34,42
"1005",33,"compositional",25,41,34,13
"1006",36,"compositional",3,43,34,89
"1007",39,"compositional",17,24,34,82
"1008",20,"spectral",3,23,34,15
"1009",15,"spectral",3,25,34,10
"1010",36,"compositional",3,23,34,23
"1011",10,"spectral",17,15,34,97
"1012",16,"spectral",3,42,34,8
"1013",20,"spectral",3,29,34,9
"1014",16,"spectral",14,40,34,4
"1015",15,"spectral",25,27,34,83
"1016",14,"spectral",4,47,34,83
"1017",15,"spectral",25,32,34,82
"1018",34,"compositional",4,10,34,30
"1019",4,"spectral",8,49,34,17
"1020",35,"compositional",4,10,34,71
"1021",13,"spectral",25,41,35,10
"1022",37,"compositional",10,39,35,50
"1023",29,"compositional",8,5,35,55
"1024",0,"spectral",4,10,35,9
"1025",26,"compositional",4,10,35,54
"1026",14,"spectral",4,28,35,74
"1027",9,"spectral",4,47,35,58
"1028",20,"spectral",3,33,35,5
"1029",30,"compositional",3,7,35,36
"1030",9,"spectral",4,4,35,18
"1031",5,"spectral",3,25,35,9
"1032",32,"compositional",17,24,35,96
"1033",29,"compositional",8,48,35,19
"1034",34,"compositional",4,10,35,7
"1035",14,"spectral",10,37,35,4
"1036",31,"compositional",17,24,35,90
"1037",31,"compositional",17,6,35,37
"1038",1,"spectral",14,26,35,90
"1039",15,"spectral",25,41,35,7
"1040",5,"spectral",3,7,35,67
"1041",5,"spectral",3,17,35,10
"1042",36,"compositional",3,42,35,4
"1043",36,"compositional",3,43,35,91
"1044",26,"compositional",4,46,35,52
"1045",11,"spectral",17,15,35,92
"1046",11,"spectral",17,20,35,6
"1047",26,"compositional",8,49,35,4
"1048",16,"spectral",14,26,35,56
"1049",15,"spectral",3,33,35,19
"1050",0,"spectral",4,28,35,60
"1051",26,"compositional",8,50,36,88
"1052",0,"spectral",4,19,36,8
"1053",16,"spectral",3,23,36,3
"1054",39,"compositional",17,15,36,9
"1055",30,"compositional",3,29,36,8
"1056",15,"spectral",3,29,36,42
"1057",10,"spectral",17,3,36,91
"1058",28,"compositional",14,34,36,30
"1059",33,"compositional",25,14,36,2
"1060",31,"compositional",17,3,36,4
"1061",13,"spectral",25,32,36,39
"1062",32,"compositional",17,24,36,74
"1063",14,"spectral",10,31,36,28
"1064",11,"spectral",17,6,36,66
"1065",31,"compositional",17,24,36,45
"1066",32,"compositional",17,15,36,71
"1067",7,"spectral",8,5,36,29
"1068",26,"compositional",4,19,36,39
"1069",35,"compositional",8,48,36,74
"1070",37,"compositional",10,2,36,36
"1071",16,"spectral",3,33,36,18
"1072",16,"spectral",3,43,36,56
"1073",14,"spectral",4,12,36,8
"1074",28,"compositional",14,9,36,3
"1075",11,"spectral",10,39,36,16
"1076",13,"spectral",25,45,36,24
"1077",11,"spectral",10,36,36,10
"1078",7,"spectral",8,49,36,9
"1079",9,"spectral",4,19,36,1
"1080",27,"compositional",25,13,36,42
"1081",10,"spectral",17,20,37,22
"1082",5,"spectral",3,43,37,41
"1083",28,"compositional",14,11,37,32
"1084",7,"spectral",8,21,37,41
"1085",14,"spectral",10,39,37,25
"1086",20,"spectral",3,25,37,18
"1087",35,"compositional",10,31,37,56
"1088",39,"compositional",17,15,37,53
"1089",14,"spectral",10,37,37,65
"1090",31,"compositional",14,34,37,17
"1091",35,"compositional",4,46,37,80
"1092",7,"spectral",8,5,37,23
"1093",35,"compositional",4,19,37,74
"1094",14,"spectral",10,31,37,57
"1095",22,"compositional",14,30,37,52
"1096",14,"spectral",4,4,37,14
"1097",11,"spectral",17,24,37,43
"1098",16,"spectral",3,7,37,53
"1099",10,"spectral",17,3,37,66
"1100",5,"spectral",3,33,37,26
"1101",16,"spectral",17,20,37,41
"1102",26,"compositional",4,22,37,40
"1103",26,"compositional",4,4,37,55
"1104",0,"spectral",4,22,37,14
"1105",30,"compositional",3,33,37,48
"1106",35,"compositional",8,50,37,76
"1107",34,"compositional",4,19,37,41
"1108",5,"spectral",3,29,37,38
"1109",31,"compositional",14,11,37,20
"1110",35,"compositional",8,16,37,68
"1111",5,"spectral",3,43,38,54
"1112",39,"compositional",17,20,38,30
"1113",15,"spectral",3,29,38,17
"1114",32,"compositional",17,6,38,29
"1115",32,"compositional",17,20,38,15
"1116",34,"compositional",4,19,38,58
"1117",0,"spectral",4,28,38,54
"1118",9,"spectral",4,10,38,12
"1119",11,"spectral",17,24,38,61
"1120",32,"compositional",17,24,38,45
"1121",13,"spectral",25,41,38,16
"1122",26,"compositional",4,19,38,36
"1123",9,"spectral",14,26,38,57
"1124",38,"compositional",25,32,38,68
"1125",2,"spectral",8,16,38,57
"1126",35,"compositional",4,38,38,69
"1127",16,"spectral",17,3,38,56
"1128",14,"spectral",10,39,38,15
"1129",10,"spectral",17,24,38,54
"1130",16,"spectral",25,13,38,20
"1131",7,"spectral",8,49,38,14
"1132",16,"spectral",14,11,38,10
"1133",31,"compositional",17,24,38,73
"1134",38,"compositional",25,41,38,3
"1135",35,"compositional",10,31,38,16
"1136",27,"compositional",25,14,38,53
"1137",10,"spectral",17,15,38,65
"1138",16,"spectral",14,34,38,9
"1139",26,"compositional",8,48,38,4
"1140",10,"spectral",17,6,38,56
"1141",7,"spectral",8,5,39,15
"1142",30,"compositional",3,17,39,4
"1143",9,"spectral",14,26,39,60
"1144",31,"compositional",14,30,39,63
"1145",4,"spectral",8,49,39,1
"1146",14,"spectral",4,47,39,60
"1147",35,"compositional",8,49,39,1
"1148",4,"spectral",8,16,39,86
"1149",31,"compositional",17,8,39,89
"1150",27,"compositional",25,32,39,77
"1151",16,"spectral",25,13,39,1
"1152",35,"compositional",4,10,39,52
"1153",2,"spectral",8,48,39,1
"1154",17,"spectral",10,31,39,62
"1155",1,"spectral",14,40,39,10
"1156",11,"spectral",17,20,39,1
"1157",26,"compositional",4,22,39,1
"1158",16,"spectral",14,11,39,1
"1159",38,"compositional",25,32,39,83
"1160",16,"spectral",3,29,39,1
"1161",0,"spectral",4,46,39,1
"1162",33,"compositional",25,13,39,1
"1163",36,"compositional",3,43,39,70
"1164",34,"compositional",4,46,39,1
"1165",34,"compositional",4,47,39,54
"1166",9,"spectral",4,46,39,2
"1167",2,"spectral",8,16,39,92
"1168",35,"compositional",10,35,39,16
"1169",13,"spectral",25,27,39,73
"1170",13,"spectral",25,32,39,64
"1171",15,"spectral",3,29,40,6
"1172",4,"spectral",8,49,40,6
"1173",36,"compositional",3,25,40,11
"1174",16,"spectral",25,14,40,17
"1175",21,"compositional",10,35,40,46
"1176",14,"spectral",10,35,40,17
"1177",1,"spectral",14,44,40,23
"1178",35,"compositional",8,16,40,96
"1179",26,"compositional",4,12,40,12
"1180",39,"compositional",17,24,40,81
"1181",33,"compositional",25,13,40,13
"1182",11,"spectral",17,8,40,12
"1183",16,"spectral",3,23,40,13
"1184",35,"compositional",8,49,40,14
"1185",22,"compositional",14,26,40,11
"1186",31,"compositional",14,26,40,76
"1187",20,"spectral",3,43,40,85
"1188",9,"spectral",14,34,40,10
"1189",21,"compositional",10,2,40,7
"1190",14,"spectral",4,10,40,11
"1191",26,"compositional",8,16,40,92
"1192",11,"spectral",17,24,40,18
"1193",20,"spectral",3,29,40,12
"1194",29,"compositional",8,16,40,83
"1195",38,"compositional",25,27,40,74
"1196",38,"compositional",25,14,40,71
"1197",21,"compositional",10,39,40,81
"1198",16,"spectral",14,34,40,12
"1199",5,"spectral",3,17,40,8
"1200",16,"spectral",3,25,40,9
"1201",35,"compositional",8,16,41,59
"1202",13,"spectral",25,14,41,14
"1203",1,"spectral",14,26,41,60
"1204",21,"compositional",10,37,41,46
"1205",11,"spectral",17,3,41,63
"1206",11,"spectral",17,20,41,10
"1207",15,"spectral",3,43,41,71
"1208",9,"spectral",14,34,41,34
"1209",35,"compositional",4,22,41,10
"1210",35,"compositional",4,38,41,42
"1211",10,"spectral",17,20,41,4
"1212",15,"spectral",25,13,41,19
"1213",26,"compositional",8,21,41,38
"1214",35,"compositional",4,28,41,57
"1215",11,"spectral",10,35,41,37
"1216",16,"spectral",25,32,41,66
"1217",1,"spectral",14,11,41,38
"1218",35,"compositional",4,19,41,44
"1219",33,"compositional",25,14,41,30
"1220",26,"compositional",4,46,41,23
"1221",27,"compositional",25,13,41,53
"1222",32,"compositional",17,3,41,58
"1223",22,"compositional",14,30,41,23
"1224",16,"spectral",14,30,41,27
"1225",16,"spectral",14,11,41,15
"1226",20,"spectral",3,23,41,12
"1227",37,"compositional",10,39,41,56
"1228",15,"spectral",3,25,41,28
"1229",20,"spectral",3,25,41,14
"1230",11,"spectral",17,15,41,65
"1231",16,"spectral",3,17,42,60
"1232",29,"compositional",8,48,42,100
"1233",32,"compositional",17,3,42,50
"1234",28,"compositional",14,26,42,30
"1235",9,"spectral",4,28,42,1
"1236",16,"spectral",25,45,42,40
"1237",1,"spectral",14,30,42,25
"1238",31,"compositional",14,44,42,65
"1239",5,"spectral",3,7,42,25
"1240",4,"spectral",8,50,42,90
"1241",35,"compositional",4,12,42,80
"1242",2,"spectral",8,48,42,50
"1243",35,"compositional",4,22,42,50
"1244",35,"compositional",8,5,42,75
"1245",0,"spectral",4,12,42,85
"1246",31,"compositional",17,24,42,25
"1247",16,"spectral",3,42,42,15
"1248",16,"spectral",17,6,42,90
"1249",20,"spectral",3,29,42,65
"1250",26,"compositional",8,16,42,40
"1251",22,"compositional",14,34,42,30
"1252",2,"spectral",8,16,42,50
"1253",29,"compositional",8,16,42,90
"1254",31,"compositional",14,40,42,30
"1255",15,"spectral",3,42,42,30
"1256",37,"compositional",10,31,42,20
"1257",2,"spectral",8,49,42,25
"1258",16,"spectral",17,8,42,25
"1259",32,"compositional",17,24,42,30
"1260",15,"spectral",3,33,42,20
"1261",35,"compositional",10,31,43,30
"1262",16,"spectral",17,6,43,65
"1263",16,"spectral",3,42,43,0
"1264",16,"spectral",3,33,43,42
"1265",35,"compositional",8,16,43,70
"1266",13,"spectral",25,14,43,5
"1267",9,"spectral",14,9,43,0
"1268",34,"compositional",4,47,43,12
"1269",11,"spectral",10,37,43,62
"1270",21,"compositional",10,35,43,7
"1271",36,"compositional",3,23,43,22
"1272",15,"spectral",25,32,43,56
"1273",27,"compositional",25,14,43,60
"1274",20,"spectral",3,25,43,0
"1275",21,"compositional",10,39,43,32
"1276",29,"compositional",8,16,43,38
"1277",37,"compositional",10,2,43,0
"1278",26,"compositional",4,19,43,25
"1279",4,"spectral",8,49,43,5
"1280",14,"spectral",4,4,43,2
"1281",14,"spectral",4,38,43,0
"1282",30,"compositional",3,33,43,4
"1283",38,"compositional",25,14,43,12
"1284",9,"spectral",4,19,43,0
"1285",39,"compositional",17,20,43,1
"1286",9,"spectral",4,4,43,3
"1287",39,"compositional",17,8,43,6
"1288",17,"spectral",10,35,43,2
"1289",16,"spectral",14,11,43,16
"1290",0,"spectral",4,4,43,40
"1291",15,"spectral",25,13,44,83
"1292",21,"compositional",10,36,44,83
"1293",16,"spectral",3,7,44,72
"1294",0,"spectral",4,46,44,2
"1295",17,"spectral",10,36,44,39
"1296",16,"spectral",25,13,44,1
"1297",0,"spectral",4,38,44,23
"1298",21,"compositional",10,31,44,27
"1299",31,"compositional",17,15,44,88
"1300",38,"compositional",25,14,44,64
"1301",36,"compositional",3,33,44,4
"1302",22,"compositional",14,44,44,0
"1303",10,"spectral",17,15,44,97
"1304",30,"compositional",3,17,44,11
"1305",9,"spectral",14,44,44,5
"1306",16,"spectral",3,43,44,83
"1307",11,"spectral",17,15,44,96
"1308",28,"compositional",14,9,44,6
"1309",13,"spectral",25,27,44,88
"1310",14,"spectral",4,22,44,5
"1311",33,"compositional",25,14,44,7
"1312",29,"compositional",8,5,44,67
"1313",0,"spectral",4,4,44,67
"1314",28,"compositional",14,26,44,83
"1315",11,"spectral",10,37,44,57
"1316",11,"spectral",17,24,44,87
"1317",13,"spectral",25,41,44,8
"1318",21,"compositional",10,35,44,13
"1319",39,"compositional",17,8,44,57
"1320",35,"compositional",8,49,44,3
"1321",11,"spectral",10,36,45,75
"1322",26,"compositional",4,38,45,38
"1323",0,"spectral",4,22,45,0
"1324",38,"compositional",25,14,45,100
"1325",26,"compositional",4,4,45,100
"1326",0,"spectral",4,10,45,0
"1327",35,"compositional",4,28,45,0
"1328",4,"spectral",8,5,45,56
"1329",2,"spectral",8,21,45,0
"1330",38,"compositional",25,45,45,0
"1331",28,"compositional",14,26,45,81
"1332",39,"compositional",17,15,45,52
"1333",2,"spectral",8,48,45,0
"1334",26,"compositional",4,22,45,0
"1335",9,"spectral",4,47,45,32
"1336",33,"compositional",25,13,45,6
"1337",11,"spectral",10,37,45,72
"1338",26,"compositional",8,5,45,0
"1339",11,"spectral",17,20,45,0
"1340",16,"spectral",14,44,45,0
"1341",34,"compositional",4,22,45,0
"1342",1,"spectral",14,44,45,62
"1343",4,"spectral",8,50,45,0
"1344",36,"compositional",3,25,45,0
"1345",38,"compositional",25,32,45,62
"1346",13,"spectral",25,41,45,0
"1347",9,"spectral",14,34,45,0
"1348",16,"spectral",17,3,45,61
"1349",28,"compositional",14,9,45,0
"1350",31,"compositional",14,40,45,29
"1351",17,"spectral",10,35,46,20
"1352",28,"compositional",14,26,46,88
"1353",34,"compositional",4,46,46,37
"1354",35,"compositional",8,21,46,19
"1355",22,"compositional",14,44,46,10
"1356",14,"spectral",10,2,46,1
"1357",9,"spectral",14,11,46,1
"1358",2,"spectral",8,48,46,5
"1359",0,"spectral",4,28,46,40
"1360",0,"spectral",4,47,46,52
"1361",35,"compositional",10,39,46,85
"1362",33,"compositional",25,41,46,5
"1363",35,"compositional",10,2,46,0
"1364",11,"spectral",17,20,46,6
"1365",9,"spectral",4,19,46,5
"1366",27,"compositional",25,32,46,82
"1367",30,"compositional",3,43,46,24
"1368",21,"compositional",10,36,46,51
"1369",37,"compositional",10,39,46,59
"1370",29,"compositional",8,50,46,28
"1371",35,"compositional",4,10,46,53
"1372",11,"spectral",17,15,46,69
"1373",9,"spectral",14,34,46,6
"1374",5,"spectral",3,7,46,43
"1375",10,"spectral",17,24,46,96
"1376",16,"spectral",25,45,46,6
"1377",20,"spectral",3,25,46,3
"1378",34,"compositional",4,38,46,7
"1379",16,"spectral",14,30,46,26
"1380",31,"compositional",14,11,46,9
"1381",16,"spectral",25,32,47,30
"1382",7,"spectral",8,48,47,24
"1383",31,"compositional",14,34,47,12
"1384",20,"spectral",3,33,47,6
"1385",33,"compositional",25,27,47,50
"1386",32,"compositional",17,15,47,70
"1387",16,"spectral",14,30,47,30
"1388",26,"compositional",4,46,47,14
"1389",35,"compositional",8,50,47,66
"1390",37,"compositional",10,2,47,24
"1391",5,"spectral",3,42,47,11
"1392",2,"spectral",8,18,47,9
"1393",10,"spectral",17,20,47,11
"1394",17,"spectral",10,36,47,35
"1395",16,"spectral",25,45,47,7
"1396",11,"spectral",10,35,47,10
"1397",34,"compositional",4,46,47,38
"1398",16,"spectral",17,3,47,88
"1399",9,"spectral",14,44,47,8
"1400",29,"compositional",8,16,47,66
"1401",16,"spectral",14,34,47,8
"1402",35,"compositional",10,37,47,33
"1403",26,"compositional",4,19,47,74
"1404",17,"spectral",10,37,47,28
"1405",33,"compositional",25,13,47,3
"1406",36,"compositional",3,17,47,7
"1407",15,"spectral",3,29,47,6
"1408",10,"spectral",17,8,47,70
"1409",14,"spectral",4,10,47,10
"1410",35,"compositional",10,36,47,2
"1411",9,"spectral",14,40,48,25
"1412",27,"compositional",25,32,48,58
"1413",16,"spectral",3,43,48,62
"1414",34,"compositional",4,22,48,2
"1415",38,"compositional",25,13,48,9
"1416",29,"compositional",8,49,48,27
"1417",26,"compositional",8,50,48,7
"1418",11,"spectral",10,37,48,56
"1419",16,"spectral",3,25,48,5
"1420",29,"compositional",8,16,48,72
"1421",35,"compositional",8,21,48,57
"1422",7,"spectral",8,49,48,0
"1423",14,"spectral",4,46,48,19
"1424",35,"compositional",4,22,48,59
"1425",16,"spectral",17,15,48,55
"1426",31,"compositional",14,26,48,33
"1427",5,"spectral",3,23,48,13
"1428",20,"spectral",3,17,48,0
"1429",16,"spectral",25,41,48,10
"1430",0,"spectral",4,19,48,7
"1431",21,"compositional",10,35,48,28
"1432",26,"compositional",8,48,48,0
"1433",31,"compositional",14,34,48,0
"1434",35,"compositional",8,16,48,52
"1435",37,"compositional",10,37,48,44
"1436",22,"compositional",14,34,48,15
"1437",5,"spectral",3,42,48,3
"1438",1,"spectral",14,30,48,35
"1439",7,"spectral",8,16,48,59
"1440",30,"compositional",3,17,48,3
"1441",4,"spectral",8,18,49,10
"1442",4,"spectral",8,49,49,10
"1443",29,"compositional",8,16,49,75
"1444",37,"compositional",10,36,49,75
"1445",34,"compositional",4,10,49,25
"1446",0,"spectral",4,12,49,25
"1447",26,"compositional",4,28,49,50
"1448",26,"compositional",8,18,49,10
"1449",14,"spectral",4,4,49,10
"1450",1,"spectral",14,34,49,10
"1451",13,"spectral",25,45,49,10
"1452",16,"spectral",14,30,49,40
"1453",34,"compositional",4,28,49,50
"1454",14,"spectral",4,12,49,10
"1455",16,"spectral",17,6,49,75
"1456",9,"spectral",4,12,49,10
"1457",38,"compositional",25,27,49,75
"1458",36,"compositional",3,23,49,25
"1459",15,"spectral",25,32,49,75
"1460",26,"compositional",4,47,49,75
"1461",20,"spectral",3,7,49,90
"1462",9,"spectral",4,46,49,10
"1463",29,"compositional",8,21,49,35
"1464",22,"compositional",14,9,49,10
"1465",4,"spectral",8,48,49,10
"1466",34,"compositional",4,19,49,40
"1467",30,"compositional",3,33,49,50
"1468",2,"spectral",8,18,49,10
"1469",29,"compositional",8,5,49,50
"1470",26,"compositional",4,38,49,10
"1471",28,"compositional",14,44,50,14
"1472",35,"compositional",4,12,50,59
"1473",10,"spectral",17,6,50,78
"1474",9,"spectral",14,34,50,42
"1475",22,"compositional",14,40,50,9
"1476",21,"compositional",10,39,50,55
"1477",31,"compositional",14,34,50,7
"1478",14,"spectral",4,19,50,12
"1479",5,"spectral",3,23,50,13
"1480",0,"spectral",4,12,50,27
"1481",16,"spectral",17,6,50,57
"1482",2,"spectral",8,16,50,46
"1483",14,"spectral",4,46,50,10
"1484",0,"spectral",4,10,50,8
"1485",10,"spectral",17,15,50,66
"1486",17,"spectral",10,36,50,17
"1487",20,"spectral",3,42,50,30
"1488",17,"spectral",10,39,50,25
"1489",35,"compositional",10,36,50,4
"1490",26,"compositional",4,47,50,45
"1491",36,"compositional",3,42,50,9
"1492",15,"spectral",25,13,50,27
"1493",11,"spectral",10,35,50,20
"1494",31,"compositional",14,44,50,19
"1495",26,"compositional",4,10,50,17
"1496",38,"compositional",25,41,50,19
"1497",20,"spectral",3,7,50,64
"1498",31,"compositional",17,8,50,62
"1499",5,"spectral",3,7,50,70
"1500",9,"spectral",14,40,50,43
"1501",32,"compositional",17,3,51,32
"1502",1,"spectral",14,44,51,36
"1503",35,"compositional",8,5,51,88
"1504",30,"compositional",3,33,51,62
"1505",32,"compositional",17,15,51,43
"1506",17,"spectral",10,36,51,10
"1507",39,"compositional",17,24,51,34
"1508",14,"spectral",10,31,51,35
"1509",11,"spectral",17,20,51,5
"1510",9,"spectral",4,19,51,0
"1511",27,"compositional",25,13,51,46
"1512",15,"spectral",25,14,51,0
"1513",14,"spectral",10,36,51,38
"1514",16,"spectral",17,3,51,58
"1515",21,"compositional",10,39,51,55
"1516",4,"spectral",8,18,51,31
"1517",10,"spectral",17,20,51,38
"1518",16,"spectral",25,45,51,3
