"","id","total","xt","ytrue","yrec"
"1",1,1,1,0.111111111111111,0
"2",1,1,2,0.121069226392038,0.0116330583930303
"3",1,1,3,0.163835483539959,0.0232661167860605
"4",1,1,4,0.167790277894383,0.0348991751790908
"5",1,1,5,0.23510573792666,0.0465322335721211
"6",1,1,6,0.231599641787703,0.0581652919651514
"7",1,1,7,0.3143219619586,0.0697983503581816
"8",1,1,8,0.376906500993479,0.0814314087512119
"9",1,1,9,0.412312614856482,0.0930641604422915
"10",1,1,10,0.511301411393763,0.104695071921667
"11",1,1,11,0.565336430377149,0.116322302977634
"12",1,1,12,0.608904933814681,0.127944013398488
"13",1,1,13,0.65272530527337,0.139558362972525
"14",1,1,14,0.692207949701023,0.151163511488041
"15",1,1,15,0.699390852526609,0.162757618733332
"16",1,1,16,0.73274004421683,0.174338844496693
"17",1,1,17,0.701909532738179,0.18590534856642
"18",1,1,18,0.714969356057426,0.197455290730809
"19",1,1,19,0.661601320907844,0.208986830778156
"20",1,1,20,0.624128956426832,0.220498128496756
"21",1,1,21,0.546315730557188,0.231987343674906
"22",1,1,22,0.544538661741248,0.2434526361009
"23",1,1,23,0.473180719969402,0.254892165563035
"24",1,1,24,0.4519165290721,0.266304091849607
"25",1,1,25,0.429733486319836,0.277686574748911
"26",1,1,26,0.353062994990624,0.289037774049243
"27",1,1,27,0.343776527766117,0.300355849538899
"28",1,1,28,0.349047099319957,0.311638961006174
"29",1,1,29,0.330110355507048,0.322885268239365
"30",1,1,30,0.349219675556674,0.334092931026767
"31",1,1,31,0.379761005233258,0.345260109156676
"32",1,1,32,0.409654007966492,0.356384962417387
"33",1,1,33,0.436664521124264,0.367465650597197
"34",1,1,34,0.517416207240739,0.378500333484401
"35",1,1,35,0.56350339088984,0.389486396898362
"36",1,1,36,0.610957191764849,0.40041813078272
"37",1,1,37,0.614138191587608,0.411289051112178
"38",1,1,38,0.664507131596377,0.422092673861443
"39",1,1,39,0.67196522355619,0.432822515005219
"40",1,1,40,0.721126129907928,0.443472090518213
"41",1,1,41,0.708626013302363,0.454034916375129
"42",1,1,42,0.700603550406253,0.464504508550673
"43",1,1,43,0.689502700584893,0.474874383019551
"44",1,1,44,0.655943618877042,0.485138055756467
"45",1,1,45,0.641941622589763,0.495289042736128
"46",1,1,46,0.592398249983676,0.505320859933239
"47",1,1,47,0.560490303081186,0.515227023322504
"48",1,1,48,0.479636004067202,0.525001048878631
"49",1,1,49,0.412685752665603,0.534636452576324
"50",1,1,50,0.351598429089823,0.544126750390288
"51",1,1,51,0.313911510368567,0.553465458295229
"52",1,1,52,0.257707627869663,0.562646092265852
"53",1,1,53,0.200722954505172,0.571662168276863
"54",1,1,54,0.191313351803654,0.580507202302968
"55",1,1,55,0.168563139581526,0.58917807582628
"56",1,1,56,0.141358594763011,0.597685132358547
"57",1,1,57,0.139362307484211,0.606042080918929
"58",1,1,58,0.184673830912602,0.61426263052658
"59",1,1,59,0.169995055924029,0.622360490200659
"60",1,1,60,0.197659959514548,0.630349368960323
"61",1,1,61,0.212664297241579,0.63824297582473
"62",1,1,62,0.260776686349687,0.646055019813035
"63",1,1,63,0.280077239526488,0.653799209944398
"64",1,1,64,0.350021921846286,0.661489255237974
"65",1,1,65,0.322568307540182,0.669138864712922
"66",1,1,66,0.369061278556703,0.676761747388398
"67",1,1,67,0.39262959542533,0.684371612283559
"68",1,1,68,0.373426990923423,0.691982168417564
"69",1,1,69,0.35726079534324,0.699607124809568
"70",1,1,70,0.37759214171774,0.707260190478731
"71",1,1,71,0.372522131736303,0.714955074444207
"72",1,1,72,0.331043200029851,0.722705485725156
"73",1,1,73,0.359961380236756,0.730525133340734
"74",1,1,74,0.355049953824196,0.738427726310098
"75",1,1,75,0.310217446058266,0.746426973652406
"76",1,1,76,0.362330805324677,0.754536584386814
"77",1,1,77,0.400134329611283,0.762770267532481
"78",1,1,78,0.424024477840279,0.771141732108563
"79",1,1,79,0.506991669698411,0.779664687134218
"80",1,1,80,0.577304825604717,0.788352841628603
"81",1,1,81,0.66798197744382,0.797219904610874
"82",1,1,82,0.752283136969561,0.806279585100191
"83",1,1,83,0.839270888720977,0.815540662067308
"84",1,1,84,0.904243509734232,0.82499219428938
"85",1,1,85,0.956202949654381,0.834618310495162
"86",1,1,86,1,0.844403139413406
"87",1,1,87,0.996175337456507,0.854330809772867
"88",1,1,88,0.998973871024917,0.864385450302298
"89",1,1,89,0.987453241168294,0.874551189730453
"90",1,1,90,0.929383669623783,0.884812156786085
"91",1,1,91,0.866090168751575,0.895152480197949
"92",1,1,92,0.775044543325963,0.905556288694798
"93",1,1,93,0.689362773906473,0.916007711005386
"94",1,1,94,0.614618606516852,0.926490875858467
"95",1,1,95,0.546534949020047,0.936989911982793
"96",1,1,96,0.498106325618709,0.947491593318994
"97",1,1,97,0.422242744801723,0.957993274655196
"98",1,1,98,0.427364061231914,0.968494955991397
"99",1,1,99,0.403469248780306,0.978996637327598
"100",1,1,100,0.438427597272362,0.989498318663799
"101",1,1,101,0.449514454425881,1
"102",1,2,1,0.496601592731502,0
"103",1,2,2,0.500708440377896,0.0125007366614715
"104",1,2,3,0.521524772515993,0.025001473322943
"105",1,2,4,0.541329962860689,0.0375022099844145
"106",1,2,5,0.510244679827995,0.0500029466458861
"107",1,2,6,0.453323991262416,0.0625036833073576
"108",1,2,7,0.429397299042438,0.0750036559279227
"109",1,2,8,0.390864004176456,0.0874990443030497
"110",1,2,9,0.349733247239739,0.0999852641873004
"111",1,2,10,0.249370097130061,0.112457731335237
"112",1,2,11,0.225633909885651,0.12491186150142
"113",1,2,12,0.150933978119404,0.137343070440413
"114",1,2,13,0.137818443262948,0.149746773906777
"115",1,2,14,0.111111111111111,0.162118387655074
"116",1,2,15,0.125105899700962,0.174453327439865
"117",1,2,16,0.14866257264147,0.186747009015714
"118",1,2,17,0.203689202123031,0.19899484813718
"119",1,2,18,0.283133440492382,0.211192260558827
