1,25.747,-26.696,-222.78,2.7862,-220.35,-152.62,16.318,-206.04,-223.56,-147.42,-221.23,-89.886,-221.23,-205.98,-222.89,-23.884,35.939,-269.33,-45.521,-270.33,-181.76,-4.0606,-255.97,-270.97,-187.38,-271.22,-102.67,-271.22,-255.03,-269.04
2,26.239,0.81547,-226.08,-24.682,-227.06,-135.5,16.099,-119.27,-226.25,-131.38,-227.19,-86.331,-227.19,-119.27,-226.35,-21.42,-40.907,-271,-62.244,-276.83,-170.13,-11.025,-169.75,-271.04,-174.2,-276.92,-99.847,-276.92,-169.72,-271.58
3,43.883,-11.66,-626.81,-0.98306,-513.22,-119.46,40.344,-91.564,-526.19,-113.8,-482.9,-249.96,-482.9,13.683,-8.6091,-5.7761,50.541,-634.17,-56.377,-550.26,-146.93,-8.4504,-142.05,-540.02,-151.18,-495.46,-327.66,-495.46,-36.825,30.133
4,-15.08,-37.309,-485.75,-34.349,-412.12,-110.97,-23.071,-170.27,-480.03,-110.18,-412.05,-75.931,-412.05,-44.155,-190.17,-64.751,-83.574,-502.07,-82.724,-439.86,-127.55,-72.386,-220.68,-493.42,-124.71,-449.95,-88.013,-449.95,-94.38,-209.56
5,50.247,-39.221,-245.75,-53.547,-242.72,-143.76,15.499,-110.68,-249.16,-137.65,-246.22,-85.696,-246.22,-105.62,-27.599,28.14,17.1,-109.2,2.3665,-115.54,-160.36,-16.383,-132.74,-67.663,-157.2,-79.128,-94.687,-79.128,-136.68,-66.974
6,44.816,-1.7599,-461.59,-28.281,-389.75,-104,42.095,-73.407,-423.95,-98.199,-336.69,-301.49,-336.69,20.507,-225.44,86.601,-9.0138,1.6007e+07,50.195,68599,-119.92,25.127,-79.522,1.4794e+06,-115.8,72208,23316,72208,-4.417,-21.62
7,46.127,-130.68,-147.14,-125.16,-142.17,-135.44,-57.904,-136.48,-147.94,-133.41,-142.38,-112.59,-142.38,-136.73,-147.26,90.035,-118.32,-193.91,-165.04,-188.65,-188.47,131.08,-107.26,-195.04,-186,-188.94,-120.16,-188.94,-106.15,-194.13
8,21.467,-18.382,-256.66,-61.516,-258.61,-115.99,23.172,-102.05,-256.67,-110.9,-258.62,-81.958,-258.62,-45.007,-256.77,68.025,81.076,-300.13,12.065,-294.06,-140.67,51.453,-33.374,-300.24,-136.17,-294.09,-79.159,-294.09,-39.268,-300.31
9,69.205,-63.792,-695.57,-129.18,-529.96,-152.62,45.789,-68.622,-592.82,-151.72,-477.07,-84.766,-477.07,-63.532,-66.535,76.906,-106.86,-659.89,24.868,-537.53,-171.07,102.67,-55.4,-237.25,-167.09,-484.71,-77.903,-484.71,-44.509,-65.584
10,63.185,15.192,-217,-149.97,-215.71,-151.81,63.266,-170.56,-218.04,-142.41,-215.87,-83.611,-215.87,-149.89,-217.37,57.383,23.861,-263.44,307.66,-260.04,-197.13,66.155,351.9,-264.56,-181.33,-260.24,-84.961,-260.24,398.68,-263.97
